section,selection_order,requested_region,stored_label_value,source_csv,area_pixels_csv,mask_pixels_saved,centroid_x_global_csv,centroid_y_global_csv,original_component_id
084,18,17,17,CRC01_084_TLS_labeled_regions_ge300px.csv,2558,2558,1840.2466770914775,1695.849100860047,20
084,19,20,20,CRC01_084_TLS_labeled_regions_ge300px.csv,2090,2090,1896.1947368421052,1734.6387559808613,23
086,1,25,25,CRC01_ROI_TLS_labeled_detailed_regions.csv,4759,4759,942.1430972893465,1887.067030888842,29
086,2,27,27,CRC01_ROI_TLS_labeled_detailed_regions.csv,1365,1365,1038.6102564102564,2008.8505494505494,33
086,3,28,28,CRC01_ROI_TLS_labeled_detailed_regions.csv,17129,17129,935.9853464884113,2072.3532605522796,32
086,4,29,29,CRC01_ROI_TLS_labeled_detailed_regions.csv,15285,15285,1113.8930978083088,2079.355119398103,30
086,5,24,24,CRC01_ROI_TLS_labeled_detailed_regions.csv,737,737,1203.3459972862956,1852.2754409769336,28
086,6,22,22,CRC01_ROI_TLS_labeled_detailed_regions.csv,1548,1548,1268.061369509044,1839.2157622739019,27
086,7,21,21,CRC01_ROI_TLS_labeled_detailed_regions.csv,10230,10230,1409.3845552297164,1822.1851417399805,25
086,8,17,17,CRC01_ROI_TLS_labeled_detailed_regions.csv,25185,25185,1595.0434385546953,1602.8044470915227,14
091,1,18,18,CRC01_091_relabel_regions_18_20_14_6_9_subregions_fullROI.csv; kept main label after deleting subregions,27781,27781,954.9564090565494,2047.0041395198157,17
091,2,20,20,CRC01_091_relabel_regions_18_20_14_6_9_subregions_fullROI.csv; kept main label after deleting subregions,16106,16106,1127.5224140072023,2111.920526511859,18
091,3,14,14,CRC01_091_relabel_regions_18_20_14_6_9_subregions_fullROI.csv; kept main label after deleting subregions,40102,36697,1487.6604627081233,1769.4397907185873,11
091,4,6,6,CRC01_091_relabel_regions_18_20_14_6_9_subregions_fullROI.csv; kept main label after deleting subregions,15940,6442,1536.2871778950637,1502.8703818689849,8
091,5,9,9,CRC01_091_relabel_regions_18_20_14_6_9_subregions_fullROI.csv; kept main label after deleting subregions,13967,5740,1802.6165505226481,1572.9674216027875,10
097,1,14,14,CRC01_ROI_TLS_labeled_detailed_regions.csv,3021,3021,961.2648129758359,1931.0675273088382,17
097,2,16,16,CRC01_ROI_TLS_labeled_detailed_regions.csv,23533,23533,945.3835040156375,2138.117409595037,19
097,3,18,18,CRC01_ROI_TLS_labeled_detailed_regions.csv,9934,9934,1119.5756996174755,2243.5636198912825,22
097,4,13,13,CRC01_ROI_TLS_labeled_detailed_regions.csv,14067,14067,1430.4905807919245,1879.8571123907018,16
097,5,9,9,CRC01_ROI_TLS_labeled_detailed_regions.csv,30765,30765,1785.3403217942466,1681.0841215667156,10
097,6,6,6,CRC01_ROI_TLS_labeled_detailed_regions.csv,6793,6793,1617.2942735168556,1563.1582511408803,9
102,1,13,13,CRC01_102_TLS_regions_6_7_10_13_subregions_fullROI.csv; kept main label after deleting subregions,72963,54326,971.8365975775871,2133.5845267459413,12
102,2,10,10,CRC01_102_TLS_regions_6_7_10_13_subregions_fullROI.csv; kept main label after deleting subregions,28817,20813,1366.1289578628741,1864.1012828520636,10
102,3,7,7,CRC01_102_TLS_regions_6_7_10_13_subregions_fullROI.csv; kept main label after deleting subregions,25089,20524,1572.7332878581174,1642.4748587020074,6
102,4,6,6,CRC01_102_TLS_regions_6_7_10_13_subregions_fullROI.csv; kept main label after deleting subregions,16925,16242,1770.7220169929813,1592.897057012683,7
106,1,23,23,CRC01_ROI_TLS_labeled_detailed_regions.csv,37065,37065,1008.7096182382302,2149.221205989478,24
106,2,20,20,CRC01_ROI_TLS_labeled_detailed_regions.csv,13421,13421,1432.7977795991355,1921.4649429997764,22
106,3,18,18,CRC01_ROI_TLS_labeled_detailed_regions.csv,3545,3545,1550.5822284908322,1870.2660084626234,20
106,4,16,16,CRC01_ROI_TLS_labeled_detailed_regions.csv,6203,6203,1704.8611961953893,1804.6151862002257,19
106,5,11,11,CRC01_ROI_TLS_labeled_detailed_regions.csv,1938,1938,1744.1001031991743,1680.1604747162023,14
106,6,9,9,CRC01_ROI_TLS_labeled_detailed_regions.csv,2246,2246,1686.313446126447,1614.806767586821,10
106,7,10,10,CRC01_ROI_TLS_labeled_detailed_regions.csv,8530,8530,1921.3821805392731,1677.1286049237983,12
