section,region_id,source_pixels,source_centroid_x,source_centroid_y,aligned_centroid_x,aligned_centroid_y,z,strongest_otsu_pixels,bcore_pixels
078,22,5012,1434.4774541101356,1828.3060654429369,1315.5922763829246,1940.0047734914542,380.0,120,1180
078,23,1914,1264.4686520376176,1860.1650992685475,1161.2184341066534,1948.0030570244069,380.0,83,638
078,24,2267,1126.2977503308337,1896.2580502867224,1034.5400865628887,1963.5383770266708,380.0,106,765
078,26,20978,968.307989322147,2007.7474497092192,881.3311897388598,2043.4991458778668,380.0,4839,15103
078,27,3522,1071.6521862578081,2027.9892106757525,970.4556321900345,2073.720215980816,380.0,1196,3136
078,30,19303,1162.5176915505363,2158.847122208983,1035.3577103854823,2200.4357796174136,380.0,6818,16769
084,14,9905,1674.5232710752146,1640.5491166077738,1490.5225467364278,1702.6255023499918,410.0,5374,9336
084,16,591,1747.3857868020305,1675.5143824027073,1557.7230341299473,1729.00922210995,410.0,22,409
084,17,2558,1840.2466770914777,1695.849100860047,1641.7872235253521,1741.0606018681879,410.0,10,2111
084,20,2090,1896.1947368421052,1734.6387559808613,1694.1667189084267,1771.9529494354642,410.0,345,1464
084,25,462,1630.9242424242425,1809.6471861471862,1462.7087530828467,1856.0461070346569,410.0,12,336
084,26,5741,1763.2313185856124,1811.6775823027347,1580.7246405981991,1849.2254185353604,410.0,120,1688
084,28,3870,1630.2268733850128,1856.5103359173127,1465.1448336317771,1897.8219381338824,410.0,98,674
084,29,3169,966.5254023351215,1875.1798674660777,875.0158057341993,1957.7314139266014,410.0,1871,2540
084,30,2026,1526.0419545903258,1877.2453109575517,1373.6705724726064,1923.0805166929013,410.0,464,1129
084,32,2677,1282.698543145312,1906.3268584236084,1158.752934366346,1964.8470202858282,410.0,85,627
084,35,954,1149.5524109014675,1917.083857442348,1040.8237312992792,1983.1092546708687,410.0,9,60
084,36,5594,1450.2468716481944,1927.497139792635,1309.4169120192182,1972.7715382986673,410.0,205,1585
084,37,907,1095.175303197354,1944.6262403528115,994.1715336988287,2011.1813160590875,410.0,20,151
084,38,874,982.8935926773455,1956.1533180778033,894.8824271821652,2028.768564698559,410.0,105,361
084,39,2095,941.0763723150358,1961.5966587112173,857.9791059943072,2036.3429135198796,410.0,119,731
084,40,1032,1041.3972868217054,2023.1220930232557,951.3774002830726,2084.5869748553964,410.0,93,454
084,42,8948,910.2424005364327,2140.9846893160484,842.2101004245467,2198.093944932244,410.0,3301,5939
084,43,10217,1118.4172457668592,2156.7382793383576,1028.7182406186216,2198.54549897263,410.0,3808,6257
084,46,644,1013.77950310559,2221.0295031055903,939.6821983486454,2262.6192553168044,410.0,44,166
086,17,25185,1595.0434385546953,1602.8044470915227,1524.7718430474333,1784.9142651942752,420.0,3957,16742
086,21,10230,1409.3845552297166,1822.1851417399805,1324.7376068599342,1961.6765664194056,420.0,298,5651
086,22,1548,1268.061369509044,1839.2157622739019,1192.5328757782256,1958.4289138681122,420.0,10,777
086,24,737,1203.3459972862959,1852.2754409769336,1131.2892925126348,1961.7759781154568,420.0,8,415
